Year,Miles,Price,Brand,Model,cross,grand,passenger,sport,cab,sportback,regular,coupe,limited,hybrid,crew,town,double,electric,plug-in
2018,41946,16990,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,45328,23990,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2012,81068,21590,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,35372,21590,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,68992,22990,3,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,47973,18590,4,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,57159,17590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,47619,18590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,51472,17590,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,33218,17990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,73580,16590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,98915,14990,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,82715,14990,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,92267,15990,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,100574,14590,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,99075,15590,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,71526,16990,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,88499,16590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,65923,11990,5,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,93942,14590,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,70735,17590,2,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,55386,17590,2,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,87336,16990,6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,83087,18990,6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,85475,16990,7,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,37726,22990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,98398,18990,9,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015,74004,18990,10,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,100373,20990,11,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,75402,19990,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2017,73047,15990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,24065,15990,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,48626,23990,8,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,33075,20990,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,66644,18590,14,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,72150,18990,9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2013,79773,14990,12,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2018,95454,22990,15,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,65338,16990,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,100316,12990,14,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,41515,15990,9,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011,72452,14590,16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,74362,16590,9,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,19651,22590,8,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,91222,17990,6,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,77209,14990,15,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,44087,15990,17,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,52200,22990,16,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,103913,13990,18,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,29116,22990,6,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,65719,22990,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020,60698,20590,19,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,69878,15590,18,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013,103464,12590,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,17223,22990,17,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,62585,17990,8,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014,97244,19990,16,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018,42025,21990,15,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019,59050,20990,13,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,61143,24990,20,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,72475,14990,2,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,74312,22990,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,36859,15590,18,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021,26507,22990,18,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022,4301,21590,18,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010,93230,14990,16,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016,75969,20990,21,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
